text,user_type
"As a PI, I want to record information about my DMP, so that an Ethics Committee can review this for compliance with ethical standards.",12
"As a legalofficer, I want to know about data sensitivity, so that I can establish sharing options.",16
"As a data librarian, I want to extract pointers from the DMP to metadata held in other systems, so that I can import this metadata into a data catalogue.",17
"As an IT staff member, I want to have an estimate of the produced data volume, so that I can plan the overall storage consumption.",15
"As an administrator, I want to know who funded the project and their requirements, so that I can track the funder specific obligations.",18
"As an archivemanager, I want to know the legal status of data, so that I can apply the legal requirements accordingly.",19
"As a data manager, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.",13
"As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can determine what basic support services and functionalities are required.",15
"As an archivemanager, I want to know in advance the conservation period of data, so that I can better organize the service by adapting the preservation actions.",19
"As a data manager, I want to document all rights necessary for managing the data, so that I can curate and preserve the data.",13
"As a data manager, I want to know what the content of the data is, so that I can check whether the necessary expertise for maintaining intellectual reusability is available.",13
"As a research head, I want to access to the persistent identifiers of datasets provided in the DMP, so that I can check that the DMP has been implemented.",20
"As a funder, I want to be able to read the costs for data management from the DMP, so that I can check whether our policies work as intended.",21
"As a stakeholder, I want to know when the data management plan was created or updated, so that I know how up-to-date the plan is or whether it needs to be updated.",22
"As a stakeholder, I want to know who is responsible for the DMP, so that I can ask them about further details.",22
"As a stakeholder, I want to have references to the project proposal, so that I can look up further general information.",22
"As a metadata manager, I want to have a short description of project, so that I can be informed about the metadata description.",23
"As a rector, I want to know how many data will be stored, so that I can plan long term resources.",24
"As a data manager, I want to know the time plan for collecting data, so that I can plan the data management.",13
"As a data librarian, I want to import administrative information regarding a project into DMP, so that I can prepopulate the DMP.",17
"As a manager, I want to know about all resources and services used for the data, so that I can estimate the true cost of the project.",25
"As an archivemanager, I want to reuse the information regarding file format, so that I can apply automated checks for the file validation.",19
"As a researcher, I want to know how many resources are needed during the project, so that I can calculate costs.",1
"As a researcher, I want to extract the description of the data collected, so that I can reuse it for the writing of a data paper.",1
"As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.",1
"As a researcher, I want to link research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.",1
"As a researcher, I want to store agreements relating to third party data used in a project, so that the data can be cited, attributed and used correctly.",1
"As an ethics manager, I want to be informed about the data, so that I can check for sensitivity of data.",26
"As a repository operator, I want to know about the kind of data, so that I can evaluate the storage size and system.",27
"As a researcher, I want to know about costs, so that I can plan my research.",1
"As a repository manager, I need details on the type of data, so that I can check if the archiving can be arranged.",6
"As an IT officer, I want to know how secure data is, so that I can ensure legal compliance.",28
"As a funder, I want to know how secure data is, so that I can ensure legal compliance.",21
"As a Research Centre Director, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students.",29
"As a Postgraduate Convenor, I want to receive regular summary reports of research data, so that I understand trends in data use among staff and postgraduate students.",30
"As a funder, I want to be able to check all the repositories mentioned in a DMP, so that I can verify whether the project has followed our funding rules.",21
"As a PI, I want to plan what kind of data I want to store, so that I can ensure it will be possible to store it.",12
"As a PI, I want to know how secure data is, so that I can ensure legal compliance.",12
"As an archive, I want to get information about the volume of data to preserve at an early stage, so that I can provide the adequate storage infrastructure.",31
"As a researcher, I want to know how long it will take to archive, so that I can plan further steps.",1
"As a PI, I want to know who owns the data, so that I know what I am allowed to do with it.",12
"As a data manager, I want to have references to documentation of the data and its creation process, so that the data can be re-used and managed.",13
"As a data manager, I want to know which kind of data types will be produced or collected, so that I can ensure that the necessary technical resources and technical know-how is available.",13
"As an IT staff member, I want to know which kind of data types will be produced or collected, so that I can ensure that the necessary technical resources and technical know-how is available.",15
"As an IT staff member, I want to know how the data is used, so that I can determine what kind of basic services and functionalities are required.",15
"As a data manager, I want to know whether the collected data depends on other data sets from my own or other institutions, so that I can ensure that these dependencies are maintained.",13
"As an IT staff member, I want to know which formats are used, so that I can determine what kind of technical services and functionalities are required.",15
"As an IT staff member, I want to know with which software or technology the data is produced or used, so that I can determine what kind of technical services and functionalities are required.",15
"As a data manager, I want to know which formats are used, so that I know what technology or background information might be necessary to use the data.",13
"As a data manager, I want to know whether the data can be reproduced efficiently, so that I can determine whether and how the data has to be stored.",13
"As a data manager, I want to know with which software or technology the data is produced or used, so that I know what technology or background information might be necessary to (re-)use the data.",13
"As a research evaluation manager, I want to ensure all data are quoted correctly with our affiliation, so that they are counted towards our citation counts.",32
"As an administrator, I want to check that all data has the appropriate security level, so that I can demonstrate compliance.",18
"As a data manager, I want to know the security requirements of the data, so that I can check whether the data can be kept secure.",13
"As a institutional data steward, I want to be able to extract the data sets that are submitted to external repositories, so that I can add them to an institutional data catalogue.",33
"As an institutional data manager, I want to know about the privacy and security requirements of the data, so that I can plan the right storage system and sharing permissions.",34
"As a researcher, I want to see the sections on costing by other researchers in my department, so that I can see if we could share data manager posts.",1
"As a researcher, I want to see the sections on roles submitted by other researchers in my department, so that I can see if we could share data manager posts.",1
"As a researcher, I want to see the sections on responsibilities submitted by other researchers in my department, so that I can see if we could share data manager posts.",1
"As a faculty data steward, I want to see the sections on costing, so that I can ensure sufficient expertise on data management to support the project.",35
"As a faculty data steward, I want to see the sections on roles, so that I can ensure sufficient expertise on data management to support the project.",35
"As a faculty data steward, I want to see the sections on responsibilities, so that I can ensure sufficient expertise on data management to support the project.",35
"As a data manager, I want to clarify the necessary rights for re-using the data, so that it is legal to reuse the data.",13
"As a researcher, I want to record my intention to share data I have collected under terms of a particular licence, so that other researchers who use the data understand the rights of use.",1
"As a data manager, I want to plan the anonymization of data, so that we protect the privacy of the people participating in the research as good as possible and still ensure reusability of data.",13
"As a repository manager, I want to have metadata in additional languages, so that I can allow for multilingual data archive.",6
"As a data manager, I want to know whether the DMP was approved, so that I can proceed with the required next steps.",13
"As a developer, I want to have the subdomain beta.nsf.gov be set up, so that I can deploy a beta site to it.",0
"As a stakeholder, I want to see the results of user research, so that I can determine if the CMS is right for me.",22
"As a designer, I want to have a new social media wireframe, so that I can begin implementing design.",36
"As a team member, I want to have a prioritized list of features and elements of a future social element page, so that I can work with the engineers to determine feasibility.",37
"As a team member, I want to determine a design direction for the beta social page, so that we can implement a beta site quickly without established brand guidelines.",37
"As a user researcher, I want to test the user research plan, so that I make sure the in-person interviews are effective and capturing the right information.",38
"As a user researcher, I want to have the finalized OLPA task script, so that I can begin testing with internal users.",38
"As a content editor, I want to be able to easily find content, so that I can edit it.",39
"As a research participant, I want to make sure that the appearance of the prototype does not distract from the workflow, so that I can complete the user interview.",40
"As a user researcher, I want to have the WIG prototype, so that I can finalize the second task script.",38
"As a team member, I want to meet with DIS / cloud.gov, so that I can determine the requirements for the beta.nsf.gov ATO.",37
"As a user researcher, I want to have a list of priority workflow candidates that we might test, so that I can make sure we're capturing the priority areas.",38
"As a team member, I want to understand what the MVP should look like, so that I can begin understanding workflow needs as they pertain to any CMS decision.",37
"As an NSF administrator, I want to shadow the CMS implementation, so that I can learn as the prototype is developed further.",41
"As a team member, I want to have an updated acquisitions roadmap, so that I can plan accordingly.",37
"As an NSF employee, I want to have an updated roadmap document, so that I can see prioritized areas to focus on for the next few months and beyond.",42
"As a researcher, I want to develop the user research protocol for internal workflows, so that we can begin testing against a CMS prototype.",1
"As a CMS administrator, I want to have roles, so that I can assign them to my users.",43
"As a CMS SME, I want to see the webmaster workflow report, so that I can understand how this might impact current direction.",44
"As an NSF employee, I want to understand work performed, so that I can understand when and what I can use later.",42
"As a researcher, I want to recruit for the last round of user research, so that we can summarize our findings and synthesize results.",1
"As a user researcher, I want to continue scheduling interviews for hypothesis #1, so that I can be prepared to test our first prototype.",38
"As an NSF employee, I want to have editorial-planning recommendations, so that I can understand how they might impact an eventual CMS / future web presence.",42
"As an NSF employee, I want to know how brand guidelines are developed and maintained, so that I can incorporate them throughout the project.",42
"As an NSF employee, I want to know how visual design directions were developed, so that I can make better design decisions in the future.",42
"As a team member, I want to know what the first hypothesis is, so that I can start developing a prototype to test.",37
"As a content designer, I want to develop a better understanding of NSF's content types and editorial plan, so that I can make more informed recommendations going forward.",45
"As a team member, I want to have a prototype strategy, so that I understand how we will gain understandings from tests that will drive recommendations.",37
"As a user researcher, I want to know when outreach to lists is successful, so that I can plan on a new release to the next listserv on the priority list.",38
"As an NSF employee, I want to schedule regular in-person check-ins, so that we can continue to communicate the goals of the project with our stakeholders.",42
"As a developer, I want to know what the three initial hypotheses are, so that I can plan work around development of prototypes.",0
"As a workshop attendee, I want to have a summary of what we learned, so that I can understand our next steps and how they apply to me.",46
"As a designer, I want to know what early indications of hypotheses might be, so that I can start planning for the first prototype.",36
"As a team member, I want to have a schedule of more coworking slots, so that I can work in tandem with the rest of the team on a more regular basis.",37
"As an NSF member, I want to have a place where I can access all the related reports and documentation, so that I can refer to it easily now and in the future.",47
"As a team member, I want to know when the mid-point checkin is and what will be covered, so that I can plan accordingly.",37
"As an NSF employee, I want to join Github, so that I can participate in the issues as assigned.",42
"As an NSF employee, I want to learn about how Github is used, so that I can participate in the issues as assigned.",42
"As a user researcher, I want to begin identifying interview participants, so that I can understand what educators and science influencers need from a future nsf.gov website.",38
"As a VisualDesigner, I want to concept different styles for the nsf.gov website, so that we can discuss different design concepts with stakeholders.",48
"As a user researcher, I want to set up a website recruitment test, so that I can see if we can recruit users in real time from the website.",38
"As a web recruiter manager, I want to confirm the recruiter is set up and working properly, so that I can deploy it on more pages.",49
"As a VisualDesigner, I want to create a moodboard to aid with visual design concepts for the nsf.gov website, so that we can discuss different design concepts with stakeholders.",48
"As a user researcher, I want to make sure the correct NSF people are invited to user interviews, so that they can observe the interviews and make recommendations accordingly.",38
"As a user researcher, I want to begin drafting a research plan, so that I can begin recruiting participants.",38
"As a VisualDesigner, I want to demonstrate the value of visual design to the NSF project team, so that visual design is an integral part of a redesign.",48
"As a team member, I want to know what visual design related tasks we might need to plan for this sprint, so that I can assign tasks as necessary.",37
"As a team member, I want to have recruiting-email templates ready to go, so that I can start recruiting interviewees ASAP!.",37
"As an NSF employee, I want to see how the user recruitment form looks and behaves on a sample page, so that I can understand the impact the recruitment will have on the NSF page.",42
"As a team member, I want to have a high-level sense of the project timeline, so that I can plan my work.",37
"As a site administrator, I want to understand how other similar organizations are handling visual design, so that I can make informed decisions about what appears to work well and what doesn't.",50
"As a site administrator, I want to understand how other similar organizations are handling content, so that I can make informed decisions about what appears to work well and what doesn't.",50
"As a user researcher, I want to conduct a user definition workshop with NSF, so that I can better prepare them and the team for future research work.",38
"As an NSF employee, I want to know where the initial in-person meeting will be, so that I can plan on attending.",42
"As a designer, I want to have a style guide / design guide / content guide, so that we have a uniform way of delivering product.",36
"As a team member, I want to know when meetings are, so that I can plan accordingly.",37
"As a anonymoususer, I want to view a list of sponsors, so that I can thank all the awesome sponsors.",51
"As a anonymoususer, I want to view a list of user profiles, so that I know who is attending the conference.",51
"As a trainingcoordinator, I want to email all the trainers at once from the website for info and updates, so that It is easier to use.",52
"As a attendee, I want to have a very clear map where the buildings and rooms are, so that I can make it to class on time.",53
"As a trainer, I want to edit my training node myself, so that the training coordinators don't have to and links to slides.",54
"As a trainee, I want to limit to one registration per day per authenticated user, so that we don't have duplicate spaces.",55
"As a trainingcoordinator, I want to have an admin view that helps track registration status for each attendee so that, so that we can see if attendend, refunded, no show.",52
"As a attendee, I want to be added to a training waitlist, so that so they can be considered for a class.",53
"As a trainee, I want to must accept the cancellation terms with a checkbox, so that they can be accountable..",55
"As a trainingcoordinator, I want to tie in a cancellation deadline to whatever registration / cancellation workflow exists, so that so we don't loose money or spots.",52
"As a trainee, I want to add to ""my schedule"" if there is a schedule feature on the site, so that they can schedule their event experience.",55
"As a trainee, I want to see which trainings I have signed up for, so that they can schedule their event experience.",55
"As a trainingcoordinator, I want to have an admin view where all trainee information is shown and can be filtered to show a single training session, so that I can see WTF is happening.",52
"As a anonymoususer, I want to have a link on the home page to a list of training options, so that I can take training.",51
"As a anonymoususer, I want to find out where the coding lounge is and what time it is open, so that I can code with my friends.",51
"As a administrator, I want to refund sponsorship money that was processed via stripe, so that people get their monies back.",18
"As a authenticateduser, I want to find a link on the sponsorships page to become a $350 level sponsor, so that I can pay for and become a sponsor role.",56
"As a anonymoususer, I want to See a list of attendees associated with this company, so that I know who from this sponsor organization is attending.",51
"As a administrator, I want to create and maintain venues, so that I can provide location details to help users find what they're looking for.",18
"As a anonymoususer, I want to view venue details, so that I can get a sense of the location and see the events happening there.",51
"As a anonymoususer, I want to see a list of the sessions associated with sponsor attendees, so that I know where I can engage with this sponsor and where they are thought leaders.",51
"As a authenticateduser, I want to Enter payment information and have my card charged for an individual sponsorship, so that I can pay for an individual sponsorship.",56
"As a sponsor, I want to link BADCamp attendees to my sponsorship page, so that I can show off our level of attendance.",57
"As a authenticateduser, I want to update my user profile, so that I can connect with other Drupalists at BADCamp.",56
"As a anonymoususer, I want to sign up for the BADCamp newsletter, so that I can stay up to date with the latest communications about BADCamp.",51
"As a administrator, I want to tag my blog posts for consumption by Drupal Planet, so that they will be listed on the Drupal Planet blog.",18
"As a administrator, I want to create blog posts, so that I can share the latest information about BADCamp with the public.",18
"As a anonymoususer, I want to read the blog, so that I can stay informed about all the latest happenings with BADCamp.",51
"As a sponsor, I want to sponsor a summit that matches my brand, so that I can get exposure to potential customers and otherwise tout my Drupal credentials.",57
"As a attendee, I want to register for a summit, so that I can reserve my seat at the summit.",53
"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event.",53
"As a attendee, I want to see what summits I'm signed up for, so that I can confirm my attendence and prevent myself from accidentally double-booking with a training or another summit.",53
"As a summit coordinator, I want to see a list of attendees signed up for my summit, so that I can communicate with my attendees by email prior to the event.",58
"As a summit coordinator, I want to list basic information about my summit, so that I can inform potential attendees on why they should attend my summit.",58
"As a summit coordinator, I want to list sponsors for my summit, so that I can make sure sponsors feel rewarded and will be interested in sponsoring in future years.",58
"As a summit coordinator, I want to list an agenda for my summit, so that I can entice attendees and give positive feedback to presenters to encourage participation.",58
"As a anonymoususer, I want to see how many seats are left for the summit, so that I can make sure to register in-time to reserve my spot.",51
"As a anonymoususer, I want to see a list of all the summits, so that I can determine which summit I might be interested and able to attend.",51
"As a anonymoususer, I want to learn about sponsorship levels, so that I can determine the right level of sponsorship for my organization.",51
"As a authenticateduser, I want to use a WYSIWYG editor for all long-form content, so that I don't have to know HTML to update my content.",56
"As a sponsor, I want to Link to my sponsorship profile from my job listings, so that recruits can learn more about my organization.",57
"As a anonymoususer, I want to learn about posting jobs as a sponsor and contact the sponsorship person, so that I have the opportunty to post my job listing on the BADCamp site.",51
"As a sponsor, I want to post a job, so that I can hire top-tier Drupal talent.",57
"As a authenticateduser, I want to view the job board, so that I can look for an interesting Drupal gig!.",56
"As a administrator, I want to assign a room to a time slot and a location, so that I can populate the schedule .",18
"As a anonymoususer, I want to see the schedule, so that I can plan my day and figure out where to go!.",51
"As a anonymoususer, I want to see the final list of sessions approved, so that I can see what's going on at BADCamp .",51
"As a administrator, I want to bulk approve sessions as accepted, so that I can save time.",18
"As a administrator, I want to mark a session as accepted, so that I can populate the schedule .",18
"As a anonymoususer, I want to receive a notification when sessions have been evaluated, so that I know whether I've been accepted or rejected.",51
"As a anonymoususer, I want to receive a notification when I submit a session, so that know that my session went through ok.",51
"As a authenticateduser, I want to edit my session, so that if I make a mistake, I can correct it.",56
"As a anonymoususer, I want to register to speak at BADCamp, so that I submit a session.",51
"As a authenticateduser, I want to submit a session at BADCAMP, so that I can get my session evaluated.",56
"As a sponsor, I want to personalize my sponsorship page, so that I can promote my brand.",57
"As a anonymoususer, I want to see a list of all the summits that include when they are, so that I can determine which summit I want to attend.",51
"As a authenticateduser, I want to Be offered several choices of idividual sponsorship on the second page of registration, so that I can be awesome and financially support the camp.",56
"As a anonymoususer, I want to easily find a link in the menu that links to the registration form, so that I can easily register for the camp.",51
"As a anonymoususer, I want to fill out a user registration form, so that I can register for the camp and get an account on the website.",51
"As a anonymoususer, I want to find session information, so that I can go to a session.",51
"As an API User, I want to be able to normalise measures by GDP, so I work with datasets in reference to their contextual constraints.",59
"As a moderator, I want to invite estimators by giving them a URL where they can access the game, so that we can start the game.",60
"As a moderator, I want to start a round by entering an item in a single multi-line text field, so that we can estimate it.",60
"As a moderator, I want to see all items we try to estimate this session, so that I can answer questions about the current story such as ""does this include ___"".",60
"As a moderator, I want to select an item to be estimated or re-estimated, so that the team sees that item and can estimate it.",60
"As a moderator, I want to add an item to the list of items to be estimated, so that so that we can be flexible and accommodate situations where we think of a new story while playing.",60
"As a moderator, I want to edit an item in the list of items to be estimated, so that I can make it better reflect the team's understanding of the item.",60
"As a moderator, I want to delete an item from the list of items to be estimated, so that we can remove it and not estimate it.",60
"As a moderator, I want to show all estimates immediately, so that I can decide to show the estimates that have been given even though not all estimators have given their estimate.",60
"As a moderator, I want to accept the average of all estimates, so that we can move on to the next item when we agree.",60
"As a moderator, I want to have the ""estimate"" field filled in automatically if all estimators show the same card, so that I can accept it more quickly.",60
"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.",60
"As a moderator, I want to estimate a story we estimated earlier in the session again, so that we can give a new estimate if we feel different about the story after estimating other related stories.",60
"As a moderator, I want to import stories from a spreadsheet, so that I don't have to copy and paste each individual story.",60
"As a moderator, I want to copy/paste stories from a spreadsheet, so that I can get started more quickly.",60
"As a moderator, I want to view a transcript of a game, so that I can see the stories and estimates.",60
"As a moderator, I want to export a transcript of a game as a HTML file, so that I can save the stories and estimates locally.",60
"As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates.",60
"As a moderator, I want to delete a game, so that stories and estimates for this game are no longer stored.",60
"As a moderator, I want to create an account for the application by entering my name, email address, a password and a username, so that I can start using the application.",60
"As a moderator, I want to log in using my account name and password, so that I can start using the application.",60
"As a moderator, I want to change my account details, so that I can keep my account details up-to-date.",60
"As a moderator, I want to delete my account, so that account information and games are no longer stored.",60
"As a moderator, I want to see dates and times in my local timezone, so that I don't have to do timezone conversion myself.",60
"As a moderator, I want to get a password reminder by email, so that I can get back to using the application when I've forgotten my password.",60
"As a moderator, I want to invite up to 15 estimators, so that we can play with large but not immense teams.",60
"As an estimator, I want to join a game by entering my name on the page I received the URL for, so that I can participate.",61
"As an estimator, I want to see all items we will try to estimate this session, so that I have a feel for the sizes of the various items.",61
"As a participant, I want to be able to change my estimate up until the last person selects a card and all are shown, so that I can change my mind based on information I hear.",62
"As a participant, I want to be able to see each estimator's prior estimates for the story being estimated, so that I can see how his or her opinion has changed so I can ask questions.",62
"As a participant, I want to have the two-minute timer reset itself as soon as we all play an estimate, so that it's ready for use on the next round.",62
"As a participant, I want to scroll back through the stories and estimates from prior rounds, so that I can use this information when I estimate the item of the current round.",62
"As a participant, I want to always have the cards in the same order across multiple draws, so that it's easy to compare estimates.",62
"As a participant, I want to change my estimate as long as the draw has not been completed, so that I can change my mind.",62
"As a participant, I want to have a small thumbnail photo displayed near where my cards are played, so that the game is more personal because I see who I'm estimating with.",62
"As a developer, I want to have written a site which is compliant with XHTML and CSS standards, so that as many people as possible can access the site and view it as intended.",0
"As a developer, I want to have a list of definitions for commonly used terms, so that everyone working on the project can understand each other more easily.",0
"As a developer, I want to have created database indexes, so that the queries run as fast as possible.",0
"As a developer, I want to have the application function correctly in Internet Explorer 6 and 7, Firefox 1.5 and 2, and Safari 2, so that as many people as possible can fully use the application.",0
"As a developer, I want to have the site comply with the W3C accessibility guidelines where possible, so that people with accessibility issues can use the application.",0
"As a user, I want to have the application respond quickly to my actions, so that I don't get bored.",63
"As a user, I want to be able to use Unicode, so that I can use any language I like.",63
"As a user, I want to see sensible and predictable URLs, so that the application feels logical and transparent.",63
"As a user, I want to have nice error pages when something goes wrong, so that I can trust the system and its developers.",63
"As a site member, I want to fill out an application to become a Certified Scrum Practitioner, so that I can earn that designation.",64
"As a Practitioner, I want to include additional details about me in my profile page, so that I can showcase my experience.",65
"As a site member, I want to fill out an application to become a Certified Scrum Trainer, so that I can teach CSM and CSPO courses and certify others.",64
"As a Trainer, I want to include additional details in my profile page about me, so that others can learn about me and decide if I am the right trainer for them.",54
"As a Practitioner, I want to write an article for the site with a small graphic shown with the article showing my CSP or CST status, so that others know my certifications when reading.",65
"As a trainer, I want to list my upcoming classes in my profile and include a link to a detailed page about each, so that prospective attendees can find my courses.",54
"As a site member, I want to view the profiles of other members, so that I can find others I might want to connect with.",64
"As a site member, I want to search for profiles based on a few fields, so that I can find others I might want to connect with.",64
"As a site member, I want to mark my profile as private in which case only my name will appear, so that no one can learn things about me I don't want shared.",64
"As a site member, I want to mark my email address as private even if the rest of my profile is not, so that no one can contact me.",64
"As a site member, I want to send an email to any member via a form, so that we can connect.",64
"As a site administrator, I want to read practicing and training applications and approve or reject them, so that only applicants who qualify can become CSPs or CSTs.",50
"As a site administrator, I want to edit any site member profile, so that I can correct problems for members.",50
"As a site visitor, I want to read current news on the home page, so that I stay current on agile news.",66
"As a site visitor, I want to access old news that is no longer on the home page, so that I can access things I remember from the past or that others mention to me.",66
"As a site visitor, I want to email news items to the editor, so that they can be considered for publication.",66
